Company Name,RevGrp,Site_ID,B2BorC,InOrOut,StoreVehicleHome,EmployeeCount,PartSeasonalOrFullTime,ProductSalesOrServices,WorkSchedule,VeteranFriendly,ZorProvideLeads
1-800 Water Damage,5-Bottom50Percent,Site_2,4 Mostly B2C,2 Mostly in,3 Vehicle location,3 Ten to Nineteen Employees,3 Part-time,3 Prepare and serve food,3 Six days/nights,3 Preference for hiring vets,3 Some by Prospect and Franchise
101 Mobility,5-Bottom50Percent,Site_2,3 Both,2 Mostly in,2 Store or Vehicle location,2 Five to Nine Employees,1 Full-time,1 Sell merchandise,2 Six days,1 Not a factor for me,3 Some by Prospect and Franchise
2 Fellas Moving Company,5-Bottom50Percent,Site_2,4 Mostly B2C,3 Even,2 Store or Vehicle location,2 Five to Nine Employees,1 Full-time,5 Perform services,2 Six days,1 Not a factor for me,2 Mostly by Prospect
911 Restoration,5-Bottom50Percent,Site_2,3 Both,3 Even,2 Store or Vehicle location,3 Ten to Nineteen Employees,1 Full-time,5 Perform services,4 Seven days,2 Mild preference for vets,2 Mostly by Prospect
A Place at Home,5-Bottom50Percent,Site_2,2 Mostly B2B,2 Mostly in,4 Home or vehicle location,1 One to Four Employees,5 Seasonal,4 Mostly perform services,1 Nine-to-Five on weekdays,2 Mild preference for vets,2 Mostly by Prospect
AAMCO,3 Top25Percent,Site_4,4 Mostly B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,2 Almost full-time,2 Some merchandise sales,2 Six days,2 Mild preference for vets,2 Mostly by Prospect
Accessible Home Health Care,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,2 Store or Vehicle location,4 Twenty to Forty-nine Employees,1 Full-time,5 Perform services,4 Seven days,2 Mild preference for vets,3 Some by Prospect and Franchise
Ace Hardware,2 Top10Percent,Site_3,5 Only B2C,1 Only indoors,1 Store retail location,3 Ten to Nineteen Employees,1 Full-time,1 Sell merchandise,4 Seven days,2 Mild preference for vets,3 Some by Prospect and Franchise
Acti-Kare,4 Top50Percent,Site_4,5 Only B2C,1 Only indoors,4 Home or vehicle location,5 Fifty+ Employees,1 Full-time,5 Perform services,3 Six days/nights,2 Mild preference for vets,3 Some by Prospect and Franchise
ActionCOACH,5-Bottom50Percent,Site_2,1 Only B2B,1 Only indoors,3 Vehicle location,5 Fifty+ Employees,5 Seasonal,5 Perform services,5 Seven days 24/7,5 Major discounts/benefits to vets,5 All by Franchise
Aether Estate Sales,4 Top50Percent,Site_2,4 Mostly B2C,2 Mostly in,4 Home or vehicle location,2 Five to Nine Employees,1 Full-time,1 Sell merchandise,4 Seven days,1 Not a factor for me,"NA"
Aire-Master,5-Bottom50Percent,Site_2,2 Mostly B2B,1 Only indoors,4 Home or vehicle location,1 One to Four Employees,1 Full-time,5 Perform services,1 Nine-to-Five on weekdays,1 Not a factor for me,3 Some by Prospect and Franchise
Aire Serv,5-Bottom50Percent,Site_3,4 Mostly B2C,3 Even,4 Home or vehicle location,4 Twenty to Forty-nine Employees,4 Semi-seasonal,4 Mostly perform services,4 Seven days,4 Favorable lending to vets,4 Mostly by Franchise
All American Ice Cream & Frozen Yogurt Shop,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,3 Prepare and serve food,4 Seven days,1 Not a factor for me,3 Some by Prospect and Franchise
All County Property Management,4 Top50Percent,Site_3,2 Mostly B2B,2 Mostly in,4 Home or vehicle location,1 One to Four Employees,1 Full-time,5 Perform services,5 Seven days 24/7,1 Not a factor for me,"NA"
"All Tune & Lube, Inc.",3 Top25Percent,Site_4,4 Mostly B2C,2 Mostly in,1 Store retail location,3 Ten to Nineteen Employees,3 Part-time,3 Prepare and serve food,3 Six days/nights,3 Preference for hiring vets,3 Some by Prospect and Franchise
